date,confirmed,sintomatici,sintomatici/positivi 7gg
2020-04-05,2599,1482,0.6501278350759304
2020-04-06,4083,2670,0.6477355118702287
2020-04-07,4140,2627,0.6299150260945832
2020-04-08,4795,3141,0.6180236296640009
2020-04-09,4685,3193,0.6123381870536401
2020-04-10,5131,2887,0.6051002918015062
2020-04-11,3430,1949,0.6049800876440351
2020-04-12,1923,1020,0.5889380599993237
2020-04-13,2266,1367,0.5614040743908563
2020-04-14,3276,2076,0.566510089507097
2020-04-15,3952,2145,0.5710715424677059
2020-04-16,3705,1811,0.5848401047375742
2020-04-17,3501,2095,0.5906520764108091
2020-04-18,2636,1582,0.587928435359642
2020-04-19,1388,870,0.5984632296390063
2020-04-20,3008,1937,0.6091570640170512
2020-04-21,3075,1890,0.6102829926771979
2020-04-22,2605,1606,0.6158144898895698
2020-04-23,2812,1585,0.6287132306295317
2020-04-24,2738,1660,0.6268281162134427
2020-04-25,1667,1065,0.6254390544911929
2020-04-26,1018,730,0.6189204217496937
2020-04-27,1977,1247,0.6179034705281675
2020-04-28,2240,1355,0.6275392935654105
2020-04-29,2328,1329,0.6278181667126933
2020-04-30,2264,1260,0.6213673697092356
2020-05-01,1085,731,0.607639740228864
2020-05-02,1019,653,0.5986048762832858
2020-05-03,506,340,0.5886775552677791
2020-05-04,1457,779,0.5818864377797929
2020-05-05,1536,832,0.5589839805794573
2020-05-06,1444,724,0.5442404607875343
2020-05-07,1389,707,0.535574633001593
2020-05-08,1379,708,0.5340635341440867
2020-05-09,731,393,0.5327169299286301
2020-05-10,337,206,0.532920802347229
2020-05-11,872,457,0.529893030631684
2020-05-12,915,487,0.5222875267257958
2020-05-13,889,447,0.5147916432699496
2020-05-14,902,440,0.5089621910222392
2020-05-15,791,364,0.5080300028938188
2020-05-16,606,294,0.5077893055219739
2020-05-17,298,170,0.4999691723985126
2020-05-18,655,339,0.5028597019928301
2020-05-19,720,382,0.493220236103768
2020-05-20,674,302,0.49774958149416576
2020-05-21,622,316,0.5066329047179903
2020-05-22,685,269,0.49451737416131875
2020-05-23,356,184,0.4795702842142288
2020-05-24,147,93,0.4755383001609523
2020-05-25,513,222,0.46038160907006836
2020-05-26,540,230,0.4642962323352823
2020-05-27,524,220,0.4513251473986965
2020-05-28,515,207,0.44120296048219637
2020-05-29,388,163,0.44017201432247083
2020-05-30,284,121,0.4581431874660577
2020-05-31,89,50,0.46440601926515973
2020-06-01,376,160,0.4706976809692411
2020-06-02,87,48,0.4746710486668356
2020-06-03,358,166,0.48980867243902537
2020-06-04,361,161,0.4809804220377413
2020-06-05,384,172,0.47895746811839507
2020-06-06,203,108,0.467686317979179
2020-06-07,84,42,0.46542203216335576
2020-06-08,299,123,0.4578325697856069
2020-06-09,368,174,0.45362708324316386
2020-06-10,393,176,0.44504749929872567
2020-06-11,448,176,0.44924917997099456
2020-06-12,368,154,0.45052326820160454
2020-06-13,214,101,0.44011954149353005
2020-06-14,68,36,0.4390567130458373
2020-06-15,276,116,0.4432790916524524
2020-06-16,280,112,0.44063934009965733
2020-06-17,302,133,0.4268957628046781
2020-06-18,232,98,0.41808578720153367
2020-06-19,290,116,0.3966544179440774
2020-06-20,165,62,0.38941371344309894
2020-06-21,62,29,0.39030008355084117
2020-06-22,333,90,0.3868138202858851
2020-06-23,292,102,0.3956647519629038
2020-06-24,206,92,0.4021976130412194
2020-06-25,201,80,0.3768519909214038
2020-06-26,184,85,0.39587530608205806
2020-06-27,121,51,0.40152870899573495
2020-06-28,62,18,0.39000806686158324
2020-06-29,233,94,0.3786564149827286
2020-06-30,198,77,0.3642832744221566
2020-07-01,235,86,0.3374914673968216
2020-07-02,248,79,0.3647998818020102
2020-07-03,238,86,0.35701455234742674
2020-07-04,218,51,0.3518416498530957
2020-07-05,81,39,0.3443306262647572
2020-07-06,235,82,0.3514211164197635
2020-07-07,224,79,0.34202140511823886
2020-07-08,284,89,0.35798341343498724
2020-07-09,220,81,0.3630098684614423
2020-07-10,247,73,0.3730696782467154
2020-07-11,162,56,0.37550815363687146
2020-07-12,60,31,0.3874001809059712
2020-07-13,186,78,0.3906063497371401
2020-07-14,238,88,0.40472344094837504
2020-07-15,237,94,0.41370309423697144
2020-07-16,256,100,0.3918416223754996
2020-07-17,284,112,0.3888958135905728
2020-07-18,164,67,0.3900315196715663
2020-07-19,110,40,0.3923770919125706
2020-07-20,316,126,0.39703365959582365
2020-07-21,278,105,0.39951916083857425
2020-07-22,276,114,0.39844845816726177
2020-07-23,267,113,0.42185362442957086
2020-07-24,306,126,0.42548425722899313
2020-07-25,192,77,0.43048433879639225
2020-07-26,91,48,0.4093475857443468
2020-07-27,323,137,0.39505469401928195
2020-07-28,315,130,0.3929131922572869
2020-07-29,464,123,0.40364873647497396
2020-07-30,328,106,0.411072554312677
2020-07-31,310,123,0.4041804125479178
2020-08-01,189,90,0.40008358481338757
2020-08-02,107,62,0.40926628088032013
2020-08-03,415,156,0.4238042316033388
2020-08-04,388,149,0.4144454810905109
2020-08-05,504,166,0.4085676012376634
2020-08-06,393,167,0.41309215249118664
2020-08-07,483,160,0.4178866390795153
2020-08-08,331,144,0.42088923066997547
2020-08-09,180,110,0.43463226833811713
2020-08-10,486,199,0.4403971854789419
2020-08-11,516,209,0.4497860404310167
2020-08-12,618,263,0.4636971677125285
2020-08-13,533,248,0.44476689780949596
2020-08-14,597,237,0.449740987282701
2020-08-15,293,156,0.4504020620532842
2020-08-16,257,123,0.44579638340694466
2020-08-17,691,307,0.43870743997990974
2020-08-18,869,356,0.4399373658329511
2020-08-19,989,389,0.4222102408532664
2020-08-20,1085,451,0.41643673253139396
2020-08-21,1287,522,0.40868557946839446
2020-08-22,960,392,0.41014500702744866
2020-08-23,639,280,0.40987276688608515
2020-08-24,1564,610,0.41047580974286424
2020-08-25,1529,642,0.4101923387012705
2020-08-26,1492,584,0.40724099911971223
2020-08-27,1448,608,0.4052081004178262
2020-08-28,1385,559,0.4036410249535504
2020-08-29,1006,390,0.4024255151729577
2020-08-30,526,223,0.4002776950841818
2020-08-31,1356,514,0.3939120254471817
2020-09-01,1354,557,0.3919677242610033
2020-09-02,1533,577,0.3965569233860123
2020-09-03,1516,569,0.40453041102938275
2020-09-04,1600,624,0.40510453791550793
2020-09-05,1091,458,0.40322115758916993
2020-09-06,519,249,0.4134407507001681
2020-09-07,1548,593,0.4179803816454209
2020-09-08,1547,616,0.42358128867489936
2020-09-09,1565,701,0.42853410795617003
2020-09-10,1604,653,0.43947622941852266
2020-09-11,1575,676,0.44703402628192057
2020-09-12,1175,534,0.45242921223594695
2020-09-13,550,306,0.4521720978071314
2020-09-14,1562,681,0.4630117896223695
2020-09-15,1741,759,0.46496978260077065
2020-09-16,1522,679,0.47532921715473403
2020-09-17,1675,809,0.4691757028949075
2020-09-18,1813,803,0.4667718118735977
2020-09-19,1260,664,0.46519520914052254
2020-09-20,602,309,0.4658001688300515
2020-09-21,1911,801,0.4599688925839723
2020-09-22,1878,798,0.46069853571612096
2020-09-23,1954,880,0.4482396486212497
2020-09-24,1902,841,0.43716128826854067
2020-09-25,2020,905,0.43799667736923587
2020-09-26,1403,617,0.4381167000020752
2020-09-27,817,356,0.4337006029959824
2020-09-28,2160,918,0.433114784874947
2020-09-29,2236,952,0.4323973527452167
2020-09-30,2489,1044,0.4376619236913419
2020-10-01,2874,1259,0.44436982318973844
2020-10-02,3149,1395,0.4460510627422651
2020-10-03,2417,1152,0.450331462346809
2020-10-04,1647,795,0.4553161441397871
2020-10-05,4444,1941,0.4577909088569322
2020-10-06,4709,2146,0.4589939595611773
2020-10-07,5267,2393,0.4567126710786772
2020-10-08,5929,2700,0.451555537794656
2020-10-09,6659,3006,0.44586607346246365
2020-10-10,5833,2687,0.43993227695950626
2020-10-11,3202,1430,0.4350335271556229
2020-10-12,9223,3661,0.4307641172955541
2020-10-13,10080,4175,0.42427249430992997
2020-10-14,11044,4639,0.41850551511287426
2020-10-15,11732,4992,0.4201617589391024
2020-10-16,13316,5406,0.4195737050192333
2020-10-17,11397,4790,0.41598753410967504
2020-10-18,6087,2789,0.4115820410673624
2020-10-19,17229,6768,0.40665822728497114
2020-10-20,19145,7449,0.4035250925988742
2020-10-21,22240,8656,0.401992622372129
2020-10-22,23673,9257,0.40224083247536513
2020-10-23,25661,9855,0.4005930224523461
2020-10-24,19626,8038,0.40052450832404735
2020-10-25,10693,4918,0.4008313217872244
2020-10-26,28094,10712,0.3997422273104188
2020-10-27,30975,12037,0.39769767190865984
2020-10-28,33458,13094,0.3976722767902064
2020-10-29,32615,12505,0.3936797360459147
2020-10-30,34917,12910,0.3926258673514807
2020-10-31,25072,10264,0.39076412830497537
2020-11-01,13121,5668,0.3901869420664839
2020-11-02,34655,12958,0.39009890735088704
2020-11-03,37399,14046,0.3926132720083646
2020-11-04,40902,15842,0.39479185207798945
2020-11-05,39538,15135,0.39835519517971063
2020-11-06,41388,16031,0.40182985009838135
2020-11-07,29475,12516,0.40614410218233005
2020-11-08,15182,6937,0.40900160177462175
2020-11-09,37774,15043,0.41370435896044144
2020-11-10,39887,16185,0.418744922222818
2020-11-11,38751,15784,0.42401115346063384
2020-11-12,38115,15845,0.42683757619875845
2020-11-13,38924,16450,0.4306206353082083
2020-11-14,28100,12968,0.4369541136610625
2020-11-15,13996,6672,0.44021082954877594
2020-11-16,36297,15416,0.44156100888029337
2020-11-17,37860,17041,0.4424986264734713
2020-11-18,36267,15599,0.44110833276743777
2020-11-19,34911,14843,0.4416210959683738
2020-11-20,32301,13863,0.4415648555976118
2020-11-21,22410,10124,0.4359949890938038
2020-11-22,10506,5046,0.4364086892345285
2020-11-23,28021,11890,0.43591723896561174
2020-11-24,28408,11679,0.4375592526968893
2020-11-25,27027,11703,0.4371832039221335
2020-11-26,26235,11064,0.43558963589802885
2020-11-27,24088,10615,0.4351441768827056
2020-11-28,17879,8030,0.4391063430290992
2020-11-29,7972,3740,0.4440282965284089
2020-11-30,22248,9371,0.45158591369550394
2020-12-01,22887,10044,0.45546857601906116
2020-12-02,21208,9914,0.46008002765941136
2020-12-03,19866,9429,0.46712783984171846
2020-12-04,20205,9453,0.4741299812892176
2020-12-05,15116,7277,0.4896011180145791
2020-12-06,6197,3213,0.4918103546385314
2020-12-07,19242,9048,0.4935634218134068
2020-12-08,7508,4108,0.49697173834480834
2020-12-09,19947,9633,0.5019767153859205
2020-12-10,20384,9925,0.5060881375148532
2020-12-11,19548,9612,0.5096160744220759
2020-12-12,14077,7270,0.5062999169621998
2020-12-13,5650,3092,0.5115782683366905
2020-12-14,18001,8909,0.5143611523400528
2020-12-15,18361,9620,0.516886812897882
2020-12-16,16752,8709,0.5155406995526953
2020-12-17,16375,8292,0.5068839492771762
2020-12-18,16769,8542,0.5075433437374601
2020-12-19,12816,6498,0.5065942573726593
2020-12-20,6409,3119,0.5051755240085719
2020-12-21,17120,8552,0.5090027836650012
2020-12-22,19372,10021,0.5157003253415102
2020-12-23,18900,9638,0.522116046382822
2020-12-24,15751,8398,0.5260972323909521
2020-12-25,4478,2491,0.528377924210605
2020-12-26,7943,4384,0.5302302276002953
2020-12-27,7675,3949,0.5326310442662495
2020-12-28,19003,9796,0.5327711997064557
2020-12-29,23811,12626,0.530250038458209
2020-12-30,23605,12434,0.5236429002843719
2020-12-31,18856,10072,0.5265016419338375
2021-01-01,5579,3005,0.5281921817434049
2021-01-02,15486,7831,0.5310079166945743
2021-01-03,8295,4434,0.5355978668508332
2021-01-04,22648,11943,0.535518864113477
2021-01-05,24405,13422,0.5354254594533533
2021-01-06,8984,5021,0.5375060940023131
2021-01-07,21205,11315,0.5349827485354732
2021-01-08,20791,11185,0.5324107685066123
2021-01-09,15385,8004,0.52929136794538
2021-01-10,6785,3507,0.5243897067751832
2021-01-11,16832,8573,0.5216284675931994
2021-01-12,16244,8579,0.5161532006915052
2021-01-13,15262,8006,0.5145257574382528
2021-01-14,14469,7441,0.5105845753312993
2021-01-15,14136,7063,0.5085559914196508
2021-01-16,10785,5488,0.5076425151012088
2021-01-17,4854,2375,0.5093720044468839
2021-01-18,14366,7113,0.5078622633145013
2021-01-19,14352,7488,0.5107118344045031
2021-01-20,13537,7265,0.5104650958335438
2021-01-21,12690,6392,0.5172659263997811
2021-01-22,13474,7001,0.5208967431880746
2021-01-23,10382,5265,0.5236808427046767
2021-01-24,4757,2554,0.5233596596571315
2021-01-25,14141,7361,0.5256098120931576
2021-01-26,14432,7811,0.5230626540818927
2021-01-27,13143,7024,0.5246135781772708
2021-01-28,12105,6288,0.5171530158111443
2021-01-29,12761,6403,0.5156830207272937
2021-01-30,10120,5242,0.5153198000258339
2021-01-31,4729,2292,0.5149084235981358
2021-02-01,13313,6793,0.5154642086622357
2021-02-02,13752,7408,0.5172455576011946
2021-02-03,13154,6992,0.5148645343951889
2021-02-04,13129,6871,0.5167504579497791
2021-02-05,13455,6919,0.5174632016989267
2021-02-06,10630,5329,0.5186048515904219
2021-02-07,4696,2338,0.5191509474550877
2021-02-08,13679,7048,0.519800037608042
2021-02-09,14429,7888,0.5220520787806369
2021-02-10,13669,7318,0.5268090434932426
2021-02-11,13249,6994,0.5259271704739771
2021-02-12,12968,6873,0.5255100602318813
2021-02-13,9721,5197,0.5273528841036697
2021-02-14,4336,2132,0.5301481279604928
2021-02-15,12822,6569,0.5343409580486507
2021-02-16,13982,7824,0.5359316528200322
2021-02-17,13870,7697,0.5377263801456179
2021-02-18,14457,8056,0.5471445686453424
2021-02-19,15268,8262,0.5504963133782467
2021-02-20,12495,6837,0.5516504787509355
2021-02-21,5692,3174,0.5508408710373124
2021-02-22,17731,9500,0.5495023857422457
2021-02-23,19614,11134,0.5486224839628777
2021-02-24,19697,10819,0.5484173201573114
2021-02-25,19313,10581,0.5447318769818522
2021-02-26,20702,11075,0.5444815668342085
2021-02-27,15773,8608,0.5438149158713869
2021-02-28,6991,3718,0.5450466845783641
2021-03-01,21832,11659,0.5449670170000298
2021-03-02,22869,12875,0.5475636575602468
2021-03-03,23569,13149,0.5514620110616598
2021-03-04,22616,12378,0.5576903962857779
2021-03-05,24008,13280,0.563089451472882
2021-03-06,17917,10267,0.567551124474187
2021-03-07,7935,4566,0.5717072013887579
2021-03-08,23724,13566,0.578105698604155
2021-03-09,25748,15300,0.5823044471762167
2021-03-10,25481,14957,0.580750361876911
2021-03-11,25396,15037,0.5788216371797098
2021-03-12,25006,14567,0.5798183992882259
2021-03-13,19790,11125,0.5795230088784081
2021-03-14,8793,4941,0.5799367862575194
2021-03-15,24117,13959,0.5783033293033414
2021-03-16,25539,15123,0.5788718521550311
2021-03-17,24493,14448,0.5805871908012027
2021-03-18,23721,13774,0.5813989120589591
2021-03-19,23249,13636,0.581664230324615
2021-03-20,17678,10150,0.5824369888383576
2021-03-21,8372,4752,0.5832147038663376
2021-03-22,23041,13379,0.5843384656114755
2021-03-23,24205,14464,0.5830225521980575
2021-03-24,23881,14217,0.5826681914203782
2021-03-25,22901,13478,0.5873949453643881
2021-03-26,23154,13367,0.5860048003911497
2021-03-27,17083,9766,0.5843767908514115
2021-03-28,8074,4850,0.5805259797432046
2021-03-29,22043,12585,0.5778825239958847
2021-03-30,23002,13483,0.5764087339779248
2021-03-31,21727,12349,0.5761984544257965
2021-04-01,21334,12161,0.5762849331757441
2021-04-02,20189,11447,0.5779803126046446
2021-04-03,15326,8739,0.5705795613068668
2021-04-04,5543,3333,0.5688151903084606
2021-04-05,7150,4167,0.5666232172588817
2021-04-06,18291,9774,0.564828283615243
2021-04-07,18877,10496,0.5614372548935425
2021-04-08,17363,9631,0.5508340300120206
2021-04-09,16940,9392,0.5441391697707115
2021-04-10,13783,7532,0.5501893941025275
2021-04-11,6574,3465,0.5490182903024549
2021-04-12,16642,8919,0.5474397011154888
2021-04-13,17005,9807,0.5465857886256633
2021-04-14,16007,8769,0.5468903839600118
2021-04-15,14690,7986,0.5483448597028542
2021-04-16,14871,8156,0.5501655552765533
2021-04-17,11234,6163,0.5477761693168166
2021-04-18,5623,3021,0.5493962809104732
2021-04-19,14524,7969,0.5520053562028547
2021-04-20,15420,8635,0.5510262872601317
2021-04-21,14443,8076,0.551967267299941
2021-04-22,14031,7884,0.5555978693104777
2021-04-23,14256,7721,0.5567437912556964
2021-04-24,11832,6569,0.5572310927542435
2021-04-25,5090,2864,0.5563495282902288
2021-04-26,13501,7516,0.5536775326828791
2021-04-27,14196,7998,0.5522844053822453
2021-04-28,13483,7456,0.5532376045146495
2021-04-29,12189,6621,0.5511836459628972
2021-04-30,12718,6764,0.547368038896378
2021-05-01,5973,3356,0.5466853706689258
2021-05-02,4514,2475,0.5450639995360156
2021-05-03,11287,5982,0.5451780648804722
2021-05-04,11242,6280,0.5444287151525996
2021-05-05,10590,5736,0.5399838882104127
2021-05-06,9331,5076,0.5379065545785154
2021-05-07,9286,4890,0.5380056131881016
2021-05-08,7220,3832,0.5381460683706117
2021-05-09,3496,1866,0.5385952423610086
2021-05-10,8001,4246,0.5375124662964231
2021-05-11,8154,4563,0.5369983197777969
2021-05-12,7357,4008,0.5368911831780688
2021-05-13,6536,3506,0.5372033822247323
2021-05-14,6413,3354,0.5349405990311679
2021-05-15,4917,2606,0.5326692099167669
2021-05-16,2073,1111,0.5328586806122984
2021-05-17,5423,2792,0.5346225384363111
2021-05-18,5709,3104,0.5353586808962959
2021-05-19,4966,2712,0.5356001380066904
2021-05-20,4317,2369,0.5346798735979983
2021-05-21,4440,2345,0.5334203027795817
2021-05-22,3566,1896,0.533719554171921
2021-05-23,1390,736,0.5313824248891924
2021-05-24,3899,1973,0.527055805002999
2021-05-25,3974,2169,0.5210598228183095
2021-05-26,3613,1914,0.5214055056775448
2021-05-27,3356,1740,0.5233248028503877
2021-05-28,3365,1636,0.5221960711757989
2021-05-29,2668,1425,0.5213457959475941
2021-05-30,1153,626,0.5257949057454445
2021-05-31,2935,1462,0.5222674243360313
2021-06-01,3112,1680,0.5286393624108852
2021-06-02,1248,700,0.5275444378415624
2021-06-03,2734,1350,0.5276613688290483
2021-06-04,2956,1569,0.5281924050056777
2021-06-05,2061,1085,0.5228383572753446
2021-06-06,960,522,0.5159580559598272
2021-06-07,2170,1089,0.5129068265226154
2021-06-08,2112,1061,0.5089862426446161
2021-06-09,1806,926,0.5105297503594514
2021-06-10,1795,848,0.505952852032553
2021-06-11,1796,904,0.5032196532785501
2021-06-12,1141,613,0.5056988180619492
2021-06-13,555,284,0.5103291541528178
2021-06-14,1446,698,0.515557993071308
2021-06-15,1293,672,0.5106500223809806
2021-06-16,1185,646,0.5006261248518437
2021-06-17,1108,564,0.5042591456277216
2021-06-18,1064,499,0.5038718703856746
2021-06-19,805,376,0.5040438035865232
2021-06-20,350,188,0.49610990505587965
2021-06-21,925,444,0.49255156632169145
2021-06-22,908,473,0.4947339290080684
2021-06-23,770,377,0.5022312247216182
2021-06-24,787,381,0.5040679594154956
2021-06-25,826,400,0.5037660991136353
2021-06-26,639,332,0.5019718702898281
2021-06-27,260,143,0.5154721217073025
2021-06-28,814,389,0.5283760566823937
2021-06-29,777,395,0.5385609215888082
2021-06-30,856,500,0.5514896469809937
2021-07-01,900,517,0.5623843078756545
2021-07-02,963,535,0.575655958244079
2021-07-03,795,485,0.5883248814032499
2021-07-04,396,248,0.5886657015121998
2021-07-05,1116,637,0.5886108419363378
2021-07-06,1355,809,0.5951161763105247
2021-07-07,1185,695,0.5979231561078405
2021-07-08,1357,779,0.6027465752738893
2021-07-09,1464,880,0.6051183682782776
2021-07-10,1353,852,0.6097833682521812
2021-07-11,753,497,0.6196581413207225
2021-07-12,1951,1146,0.6265903552207471
2021-07-13,2525,1590,0.6274120473722513
2021-07-14,2535,1662,0.6256077757823707
2021-07-15,3055,1902,0.6201142974453487
2021-07-16,3594,2181,0.6233320510473968
2021-07-17,2810,1734,0.6213453365388418
2021-07-18,1641,1020,0.6165297720849078
2021-07-19,4135,2522,0.6129230388716935
2021-07-20,4862,2994,0.610884055148043
2021-07-21,5020,3122,0.6089564360355578
2021-07-22,4885,2918,0.6073700927648576
2021-07-23,5358,3175,0.6022249159912052
2021-07-24,4180,2523,0.6019749473023583
2021-07-25,2159,1318,0.5989916668381995
2021-07-26,6245,3584,0.5987717852748057
2021-07-27,6322,3882,0.5970010735389032
2021-07-28,6023,3620,0.5932501771788242
2021-07-29,5809,3461,0.5890701305820079
2021-07-30,5993,3477,0.5932970904623752
2021-07-31,4888,2822,0.5938845628843259
2021-08-01,2352,1367,0.5925537107672738
2021-08-02,6537,3945,0.5909447974607197
2021-08-03,7016,4337,0.5854330943485745
2021-08-04,6951,4113,0.5862012098041751
2021-08-05,6299,3682,0.5837827648317887
2021-08-06,6972,3776,0.5786456602367718
2021-08-07,4939,2878,0.5733812506596477
2021-08-08,2917,1646,0.5711979437463254
2021-08-09,6849,3887,0.567735857688002
2021-08-10,7158,4161,0.5689212743795994
2021-08-11,6712,3869,0.5650552894363098
2021-08-12,6741,3777,0.5642875382081024
2021-08-13,6534,3593,0.561619706318588
2021-08-14,4852,2696,0.5561619663824252
2021-08-15,2190,1224,0.5498761665022276
2021-08-16,6366,3494,0.5433526676063755
2021-08-17,7308,3969,0.5344102513925224
2021-08-18,6861,3653,0.5289151048304734
2021-08-19,6729,3463,0.5220762360991463
2021-08-20,7045,3433,0.5136692406160062
2021-08-21,5151,2664,0.5079196456943705
2021-08-22,2810,1436,0.4969027515304233
2021-08-23,6953,3407,0.48214808614625104
2021-08-24,6652,3345,0.4573644987632512
2021-08-25,6053,2756,0.4112858905640409
2021-08-26,4456,1833,0.481138457925505
2021-08-27,2527,793,
2021-08-28,745,145,
2021-08-29,1,1,
